Volatility 3 Framework 2.11.0

PID	Process	Args

4	System	Required memory at 0x20 is not valid (process exited?)
104	Registry	Required memory at 0x20 is not valid (process exited?)
492	smss.exe	\SystemRoot\System32\smss.exe
644	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
740	wininit.exe	wininit.exe
760	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
808	services.exe	C:\Windows\system32\services.exe
836	lsass.exe	C:\Windows\system32\lsass.exe
908	winlogon.exe	winlogon.exe
396	svchost.exe	C:\Windows\system32\svchost.exe -k DcomLaunch -p
560	fontdrvhost.ex	"fontdrvhost.exe"
528	fontdrvhost.ex	"fontdrvhost.exe"
1036	svchost.exe	C:\Windows\system32\svchost.exe -k RPCSS -p
1136	dwm.exe	"dwm.exe"
1144	LogonUI.exe	Required memory at 0xfd1d5fe020 is not valid (process exited?)
1156	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p
1164	svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService -p
1316	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p
1324	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p
1332	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p
1408	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p
1476	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p
1508	svchost.exe	C:\Windows\system32\svchost.exe -k UserProfileService -p
1576	svchost.exe	C:\Windows\System32\svchost.exe -k netprofm -p
1820	MemCompression	Required memory at 0x20 is not valid (process exited?)
1856	WUDFHost.exe	"C:\Windows\System32\WUDFHost.exe" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-46723e63-4473-46f6-8c2f-22b7eb0e5f0d -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-d7a86b73-6b07-4dd2-b1af-d94bc59c7908 -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-8840322c-b2ff-4928-82f6-3c63045757b6 -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-00c8d621-00f7-40d2-bf9d-fbb8d763b148 -LifetimeId:96e03f51-45ef-4378-a360-68598caf5f47 -DeviceGroupId:WpdFsGroup -HostArg:0
2000	svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService -p
856	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p
2272	svchost.exe	C:\Windows\system32\svchost.exe -k appmodel -p
2360	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p
2368	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p
2480	audiodg.exe	C:\Windows\system32\AUDIODG.EXE 0x000000000000044C
2632	svchost.exe	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p
2700	spoolsv.exe	C:\Windows\System32\spoolsv.exe
2740	svchost.exe	C:\Windows\system32\svchost.exe -k NetSvcs
2760	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p
2796	svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p
2988	FoxitPDFEditor	"C:\Program Files (x86)\Common Files\Foxit\Foxit PDF Editor\FoxitPDFEditorUpdateService.exe"
3032	MpDefenderCore	"C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.24080.9-0\MpDefenderCoreService.exe"
2664	svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService
1728	MsMpEng.exe	"C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.24080.9-0\MsMpEng.exe"
3996	svchost.exe	C:\Windows\System32\svchost.exe -k wsappx -p
3092	svchost.exe	C:\Windows\system32\svchost.exe -k WebThreatDefense -p
2304	sihost.exe	sihost.exe
3424	svchost.exe	C:\Windows\system32\svchost.exe -k UnistackSvcGroup
3476	svchost.exe	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p
2456	taskhostw.exe	taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}
4200	userinit.exe	Required memory at 0x190627f020 is not valid (process exited?)
4236	explorer.exe	C:\Windows\Explorer.EXE
4268	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted
4804	svchost.exe	C:\Windows\system32\svchost.exe -k osprivacy -p
