Volatility 3 Framework 2.11.0

Offset	Name

0xd901801c6630	\$Directory
0xd901801e8bb0	\Users\Nis. E. Juul\AppData\Local\Microsoft\Windows\Explorer\iconcache_16.db
0xe60dd88810a0	\Windows\System32\drivers\tdx.sys
0xe60dd8881210	\Windows\System32\DriverStore\FileRepository\basicrender.inf_amd64_402645b3f1a80dd7\BasicRender.sys
0xe60dd88814f0	\System Volume Information\{76449362-7361-11ef-ac11-080027aff28e}{3808876b-c176-4e48-b7ae-04046e6cc752}
0xe60dd8881660	\System Volume Information\{76449313-7361-11ef-ac11-080027aff28e}{3808876b-c176-4e48-b7ae-04046e6cc752}
0xe60dd88817d0	\Windows\System32\drivers\cimfs.sys
0xe60dd8881d90	\Windows\System32\drivers\npfs.sys
0xe60dd8882350	\$Directory
0xe60dd8882630	\Windows\System32\DriverStore\FileRepository\basicdisplay.inf_amd64_02da009b3d736cc1\BasicDisplay.sys
0xe60dd8882d60	\Windows\System32\drivers\msfs.sys
0xe60dd8882ed0	\Windows\System32\drivers\tdi.sys
0xe60dd888a0a0	\Windows\System32\drivers\netbt.sys
0xe60dd888a210	\Windows\System32\drivers\vwififlt.sys
0xe60dd888a380	\System Volume Information\{8368782e-736f-11ef-ac12-080027aff28e}{3808876b-c176-4e48-b7ae-04046e6cc752}
0xe60dd888aab0	\Windows\System32\drivers\netbios.sys
0xe60dd888b4c0	\Windows\System32\drivers\vfpext.sys
0xe60dd888b910	\Windows\System32\drivers\afd.sys
0xe60dd888bed0	\Windows\System32\drivers\afunix.sys
0xe60dd8914230	\Windows\System32\drivers\CmBatt.sys
0xe60dd8914c40	\Windows\System32\drivers\battc.sys
0xe60dd89154e0	\Windows\System32\drivers\intelppm.sys
0xe60dd8915650	\Windows\System32\drivers\vpcivsp.sys
0xe60dd89161d0	\Windows\System32\drivers\USBXHCI.SYS
0xe60dd8916340	\Windows\System32\drivers\storvsp.sys
0xe60dd8916be0	\Windows\System32\drivers\Ucx01000.sys
0xe60dd8917310	\Windows\System32\drivers\usbd.sys
0xe60dd8917760	\Windows\System32\drivers\ksthunk.sys
0xe60dd8917d20	\Windows\System32\drivers\NdisVirtualBus.sys
0xe60dd8917e90	\Windows\System32\drivers\rdpbus.sys
0xe60dd89185c0	\Windows\System32\drivers\en-US\USBXHCI.SYS.mui
0xe60dd89188a0	\Windows\bootstat.dat
0xe60dd8918b80	\Windows\System32\drivers\USBHUB3.SYS
0xe60dd8918e60	\Windows\System32\drivers\HdAudio.sys
0xe60dd8919420	\Windows\System32\DriverStore\FileRepository\swenum.inf_amd64_d84a235075a8ff73\swenum.sys
0xe60dd8cde210	\$Mft
0xe60dd8cde380	\$Extend\$RmMetadata\$Repair
0xe60dd8cde7d0	\$Secure:$SII:$INDEX_ALLOCATION
0xe60dd8cde940	\:$I30:$INDEX_ALLOCATION
0xe60dd8cdec20	\$BitMap
0xe60dd8cdf350	\Windows\System32\drivers\en-US\ntfs.sys.mui
0xe60dd8cdf4c0	\$Mft::$BITMAP
0xe60dd8cdf630	\$MftMirr
0xe60dd8cdf7a0	\$LogFile
0xe60dd8cdfa80	\$Extend\$RmMetadata\$TxfLog:$I30:$INDEX_ALLOCATION
0xe60dd8cdfbf0	\$Secure:$SDS:$DATA
0xe60dd8cdfd60	\Windows\System32\drivers\CAD.sys
0xe60dd8cdfed0	\$Extend:$I30:$INDEX_ALLOCATION
0xe60dd8da51e0	\Windows\System32\AboutSettingsHandlers.dll
0xe60dd8da5370	\Windows\System32\config\systemprofile\AppData\Local\Microsoft\Windows\Notifications\wpndatabase.db
0xe60dd8da5500	\$Directory
0xe60dd8da5cd0	\FTK Imager\adtz_globals.dll
0xe60dd8da5e60	\FTK Imager\vcruntime140.dll
0xe60dd8da6180	\Program Files\WindowsApps\Microsoft.LanguageExperiencePacken-GB_22621.37.187.0_neutral__8wekyb3d8bbwe\Windows\System32\en-GB\a284960c04c9bcd1d23289321f222b5f\user32.dll.mui
0xe60dd8da6310	\Windows\SystemApps\Microsoft.UI.Xaml.CBS_8wekyb3d8bbwe\Microsoft.UI.Xaml\Assets\NoiseAsset_256x256_PNG.png
0xe60dd8da67c0	\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SystemSettingsExtensions.dll
0xe60dd8da6ae0	\Windows\System32\rasmans.dll
0xe60dd8da6e00	\FTK Imager\libvshadow.dll
0xe60dd8da72b0	\Windows\System32\rasppp.dll
0xe60dd8da7440	\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\ValueBanner\Assets\Images\WindowsUpdate_Logo.svg
0xe60dd8da78f0	\FTK Imager\libbfio.dll
0xe60dd8da7a80	\Windows\System32\vpnike.dll
0xe60dd8da7c10	\$Directory
0xe60dd8da7da0	\ROUTER
0xe60dd8da8570	\Windows\System32\en-US\msvfw32.dll.mui
0xe60dd8da8a20	\SwDevice
0xe60dd8da8bb0	\ROUTER
0xe60dd8da8d40	\CMApi
0xe60dd8da91f0	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.22621.3672_none_2713b9d173822955
0xe60dd8da9510	\ROUTER
0xe60dd8da96a0	\Users\Nis. E. Juul\AppData\Local\Microsoft\Windows\Explorer\iconcache_idx.db
0xe60dd8da9830	\Users\Nis. E. Juul\AppData\Local\Microsoft\Windows\Explorer\iconcache_16.db
0xe60dd8da99c0	\Users\Nis. E. Juul\AppData\Local\Microsoft\Windows\Explorer\iconcache_32.db
