Volatility 3 Framework 2.11.0

Offset	FileFullPath	File output

0x9f8e6f0a7000		Disabled
0x9f8e6f064000	\REGISTRY\MACHINE\SYSTEM	Disabled
0x9f8e6f13d000	\REGISTRY\MACHINE\HARDWARE	Disabled
0x9f8e6fb3a000	\SystemRoot\System32\Config\SOFTWARE	Disabled
0x9f8e71685000	\Device\HarddiskVolume1\EFI\Microsoft\Boot\BCD	Disabled
0x9f8e6f514000	\SystemRoot\System32\Config\DEFAULT	Disabled
0x9f8e718b5000	\SystemRoot\System32\Config\SECURITY	Disabled
0x9f8e71a05000	\SystemRoot\System32\Config\SAM	Disabled
0x9f8e71b3b000	\??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT	Disabled
0x9f8e71f44000	\SystemRoot\System32\Config\BBI	Disabled
0x9f8e72418000	\??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT	Disabled
0x9f8e72eaf000	\??\C:\Users\Nis. E. Juul\ntuser.dat	Disabled
0x9f8e72eb5000	\??\C:\Users\Nis. E. Juul\AppData\Local\Microsoft\Windows\UsrClass.dat	Disabled
0x9f8e7591c000	\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\MicrosoftWindows.Client.FileExp_1000.22700.1000.0_x64__cw5n1h2txyewy\ActivationStore.dat	Disabled
0x9f8e75982000	\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\MicrosoftWindows.Client.Core_1000.22700.1009.0_x64__cw5n1h2txyewy\ActivationStore.dat	Disabled
0x9f8e75acd000	\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\MicrosoftWindows.Client.CBS_1000.22700.1034.0_x64__cw5n1h2txyewy\ActivationStore.dat	Disabled
0x9f8e77a38000	\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\MicrosoftWindows.Client.WebExperience_524.23700.10.0_x64__cw5n1h2txyewy\ActivationStore.dat	Disabled
0x9f8e77c0f000	\??\C:\ProgramData\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\S-1-5-21-2137864881-2530878059-532196947-1003\SystemAppData\Helium\Cache\2cf1c9054f3a49aa.dat	Disabled
0x9f8e77c35000	\??\C:\Users\Nis. E. Juul\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\SystemAppData\Helium\User.dat	Disabled
0x9f8e77c40000	\??\C:\Users\Nis. E. Juul\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\SystemAppData\Helium\UserClasses.dat	Disabled
