Volatility 3 Framework 2.11.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path

4	0	System	0xe60dd80b3040	202	-	N/A	False	2024-09-15 14:51:37.000000 UTC	N/A	-	-	-
* 104	4	Registry	0xe60dd8116080	4	-	N/A	False	2024-09-15 14:51:35.000000 UTC	N/A	Registry	-	-
* 492	4	smss.exe	0xe60ddb244040	2	-	N/A	False	2024-09-15 14:51:37.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\smss.exe	\SystemRoot\System32\smss.exe	\SystemRoot\System32\smss.exe
* 1820	4	MemCompression	0xe60ddd955040	22	-	N/A	False	2024-09-15 14:51:44.000000 UTC	N/A	MemCompression	-	-
644	616	csrss.exe	0xe60ddd3e7140	11	-	0	False	2024-09-15 14:51:43.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16	C:\Windows\system32\csrss.exe
740	616	wininit.exe	0xe60ddd485080	2	-	0	False	2024-09-15 14:51:43.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\wininit.exe	wininit.exe	C:\Windows\system32\wininit.exe
* 808	740	services.exe	0xe60ddd5b7080	8	-	0	False	2024-09-15 14:51:43.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\services.exe	C:\Windows\system32\services.exe	C:\Windows\system32\services.exe
** 1408	808	svchost.exe	0xe60ddd8bb080	17	-	0	False	2024-09-15 14:51:44.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p	C:\Windows\system32\svchost.exe
** 1156	808	svchost.exe	0xe60ddd7df080	65	-	0	False	2024-09-15 14:51:44.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p	C:\Windows\system32\svchost.exe
*** 2304	1156	sihost.exe	0xe60dde6a30c0	11	-	1	False	2024-09-15 14:51:49.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\sihost.exe	sihost.exe	C:\Windows\system32\sihost.exe
**** 7736	2304	msteams_autost	0xe60ddfebf080	0	-	1	False	2024-09-15 14:52:06.000000 UTC	2024-09-15 14:52:07.000000 UTC	\Device\HarddiskVolume3\Program Files\WindowsApps\MicrosoftTeams_24215.1105.3082.1600_x64__8wekyb3d8bbwe\msteams_autostarter.exe	-	-
***** 7784	7736	msteams.exe	0xe60ddfeca080	32	-	1	False	2024-09-15 14:52:06.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\WindowsApps\MicrosoftTeams_24215.1105.3082.1600_x64__8wekyb3d8bbwe\msteams.exe	"C:\Program Files\WindowsApps\MicrosoftTeams_24215.1105.3082.1600_x64__8wekyb3d8bbwe\msteams.exe" ms-teams:system-initiated	C:\Program Files\WindowsApps\MicrosoftTeams_24215.1105.3082.1600_x64__8wekyb3d8bbwe\msteams.exe
****** 8156	7784	msedgewebview2	0xe60ddff7a080	48	-	1	False	2024-09-15 14:52:07.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe	"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe" --embedded-browser-webview=1 --webview-exe-name=msteams.exe --webview-exe-version=24215.1105.3082.1600 --user-data-dir="C:\Users\Nis. E. Juul\AppData\Local\Packages\MicrosoftTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView" --noerrdialogs --embedded-browser-webview-dpi-awareness=2 --autoplay-policy=no-user-gesture-required --disable-features=BreakoutBoxPreferCaptureTimestampInVideoFrames,V8Maglev,msFloatyShouldHonorIndiaHoldout,msWebOOUI --enable-features=MojoIpcz,msSingleSignOnOSForPrimaryAccountIsShared,AutofillReplaceCachedWebElementsByRendererIds,msAbydos,msAbydosGestureSupport,msAbydosHandwritingAttr,msWebView2EnableDraggableRegions,msWebView2SetUserAgentOverrideOnIframes --lang=en-DK --mojo-named-platform-channel-pipe=7784.8148.10479565130108157744 /pfhostedapp:3055b2e688835e0c313f4effb77fb3339c7707ba	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe
******* 7560	8156	msedgewebview2	0xe60de00b4140	8	-	1	False	2024-09-15 14:52:08.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe	"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-GB --service-sandbox-type=service --noerrdialogs --user-data-dir="C:\Users\Nis. E. Juul\AppData\Local\Packages\MicrosoftTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView" --webview-exe-name=msteams.exe --webview-exe-version=24215.1105.3082.1600 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --field-trial-handle=2308,i,13945888177040141814,6334991142268191370,262144 --enable-features=AutofillReplaceCachedWebElementsByRendererIds,MojoIpcz,msAbydos,msAbydosGestureSupport,msAbydosHandwritingAttr,msSingleSignOnOSForPrimaryAccountIsShared,msWebView2EnableDraggableRegions,msWebView2SetUserAgentOverrideOnIframes --disable-features=BreakoutBoxPreferCaptureTimestampInVideoFrames,V8Maglev,msFloatyShouldHonorIndiaHoldout,msWebOOUI --variations-seed-version --mojo-platform-channel-handle=2344 /prefetch:13 /pfhostedapp:3055b2e688835e0c313f4effb77fb3339c7707ba	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe
